#TimeHarp 260  Histogram Data			26-Apr-21 05:05:56 PM
#channels per curve
32768
#display curve no.
0	1	2	3	4	5	6	
#memory block no.
0	1	2	3	4	5	6	
#ns/bin
0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	
#counts
80	357	256	170	402	452	4	
69	360	250	160	441	399	5	
74	324	275	195	384	454	6	
72	347	254	168	392	437	13	
76	371	245	174	410	444	12	
68	330	253	161	393	449	7	
58	363	261	154	409	396	7	
71	338	261	178	427	470	8	
74	358	244	162	411	437	6	
61	362	267	152	384	409	10	
71	340	277	159	402	417	10	
79	347	269	175	409	425	5	
60	342	260	172	366	426	7	
68	367	273	183	400	403	8	
66	370	305	176	416	423	14	
68	350	240	179	419	369	10	
69	338	240	167	391	394	7	
61	324	260	177	395	363	11	
52	306	264	184	424	410	11	
59	347	263	171	431	389	13	
48	347	272	138	402	380	7	
58	322	275	186	408	394	8	
42	350	263	167	405	383	10	
53	328	232	193	388	397	3	
54	369	260	168	367	384	11	
44	334	279	170	385	343	7	
46	355	239	166	435	360	6	
40	328	244	168	373	357	5	
58	322	265	174	430	362	10	
47	340	263	177	406	372	12	
42	298	246	187	377	396	8	
44	368	268	165	411	331	7	
54	318	264	192	392	376	8	
63	361	269	165	392	390	7	
51	370	262	189	398	362	8	
49	328	261	183	400	384	5	
53	361	252	176	398	368	10	
50	321	278	177	411	351	5	
41	332	258	165	399	399	7	
38	351	259	178	390	376	10	
45	306	264	173	397	326	10	
39	345	249	201	396	345	8	
37	328	262	191	367	331	7	
30	305	246	186	412	331	6	
38	317	285	191	389	342	8	
45	313	252	198	410	380	11	
33	328	261	185	346	335	10	
49	320	257	163	374	328	7	
39	323	246	193	390	359	8	
49	316	259	171	401	314	9	
46	317	260	191	392	369	11	
39	302	231	169	354	341	5	
33	312	234	185	364	357	6	
37	295	267	184	352	335	9	
34	324	269	165	358	333	9	
31	293	263	181	388	357	5	
45	300	295	172	373	359	8	
30	260	245	190	410	295	7	
36	310	261	199	363	320	5	
27	301	268	181	362	294	6	
44	293	269	173	380	290	7	
34	318	268	183	367	313	7	
30	309	283	147	352	290	6	
28	319	240	177	374	314	5	
31	301	286	181	362	295	7	
41	311	282	189	361	318	7	
22	319	250	168	372	306	12	
25	287	272	180	353	307	10	
28	263	254	194	386	330	8	
26	308	259	170	393	327	10	
21	323	271	160	344	326	4	
32	304	250	194	390	286	10	
29	297	260	197	396	346	3	
31	283	254	175	379	273	5	
27	276	280	202	401	288	10	
33	258	256	173	387	278	5	
17	257	264	166	379	302	4	
26	277	267	207	381	301	6	
25	317	255	179	334	283	5	
22	282	260	187	370	267	8	
20	261	252	186	379	299	2	
20	283	269	185	332	282	7	
20	291	275	171	319	277	8	
24	273	243	139	359	291	4	
19	271	243	194	343	315	7	
20	264	237	165	351	246	8	
14	292	281	159	359	301	10	
9	309	261	177	348	276	5	
17	255	250	207	366	279	4	
17	261	257	174	362	286	5	
18	284	268	192	369	252	8	
15	275	308	176	347	280	2	
13	273	257	188	347	255	2	
25	255	260	204	361	280	7	
15	248	266	183	315	285	8	
14	279	250	205	369	271	3	
19	258	269	198	351	263	11	
9	273	271	184	323	272	13	
14	262	245	219	359	281	6	
19	237	263	214	329	276	10	
17	254	260	189	346	266	7	
12	291	276	186	329	276	8	
12	269	275	182	353	241	7	
14	243	245	183	355	266	5	
14	270	264	180	332	259	6	
12	285	246	205	340	279	7	
15	271	250	178	324	246	10	
20	237	266	182	362	248	7	
11	249	299	179	364	238	6	
11	286	273	192	345	261	6	
12	247	228	164	354	231	3	
17	234	259	188	371	261	3	
7	253	271	212	353	259	7	
13	249	268	189	318	264	11	
10	248	257	179	365	248	5	
17	226	260	203	313	244	6	
21	238	279	182	310	235	10	
9	249	272	223	344	227	8	
8	256	277	213	329	274	7	
7	255	234	193	336	257	3	
8	249	282	188	332	216	5	
15	258	283	186	334	225	5	
13	279	265	175	311	238	7	
19	229	264	192	343	258	5	
10	211	279	188	366	263	7	
13	249	221	172	319	223	6	
12	246	220	220	356	262	5	
12	269	282	190	347	228	9	
10	221	247	206	323	218	6	
13	264	270	199	330	277	6	
8	224	244	186	350	227	5	
5	224	251	178	348	218	6	
11	227	236	179	344	227	7	
11	211	253	205	304	236	3	
9	266	268	200	329	214	5	
5	242	264	189	331	218	5	
11	240	256	198	326	223	5	
10	237	262	208	335	204	8	
7	241	247	181	355	189	4	
10	247	274	197	319	181	3	
8	204	241	189	335	215	5	
11	224	245	177	318	229	7	
6	230	242	194	347	209	7	
9	235	265	193	349	228	3	
9	238	268	194	318	194	10	
7	213	230	196	359	196	5	
5	205	254	185	321	236	5	
10	225	263	203	327	220	6	
4	230	254	184	321	185	5	
2	245	283	169	301	190	3	
8	214	266	194	323	218	5	
6	215	251	186	293	199	4	
3	226	258	188	352	238	5	
